Source;Target;Label;Weight
54;65;C;5
56;65;C;5
58;65;1;5
63;65;3;1
66;65;3;1
68;65;23;3
71;65;L;0.5
73;65;L;1
77;65;2;2
89;65;C2;7
91;65;2;2
93;65;1;10
95;65;L;1.5
97;65;3;1
100;65;1;5
101;65;C;5
105;65;L;0.5
111;65;3;2
119;65;C;5
121;65;12;7
127;65;L;1
12;66;L;0.5
17;66;C2L;7.5
28;66;1;5
29;66;1;5
30;66;2;2
32;66;3;1
40;66;1;5
65;66;3;1
68;66;1L;5.5
76;66;L;0.5
77;66;L;0.5
81;66;2;2
93;66;2;2
95;66;2;2
97;66;2;2
100;66;3;1
106;66;1;10
108;66;C;5
